collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2016-01-02,6,02,2016,01,422,0,120,12.0,17.7,1016.9,12.0,42.1,32.0,0.0,35.8,10.0,6.0,18.1,0.0,,0.0,0.0,0.0
2020-01-22,3,22,2020,01,489,0,120,12.0,12.7,1030.7,12.0,37.9,19.9,0.0,30.0,10.0,4.2,,0.0,,0.0,0.0,0.0
2017-01-27,5,27,2017,01,583,0,122,12.0,24.6,1002.1,12.0,44.1,39.9,0.0,41.8,10.0,7.8,27.0,0.02,,0.0,0.0,0.0
2017-02-05,7,05,2017,02,429,0,120,12.0,13.9,1018.2,8.9,42.1,21.9,0.0,35.2,10.0,6.3,24.1,0.0,,0.0,0.0,0.0
2017-02-21,2,21,2017,02,483,0,120,12.0,18.8,1026.7,9.9,55.0,34.0,0.0,40.8,10.0,5.5,17.1,0.0,,0.0,0.0,0.0
2016-10-09,7,09,2016,10,480,0,120,12.0,52.8,1015.6,12.0,68.0,51.1,0.0,58.0,6.1,5.2,21.0,0.44,,0.0,0.0,0.0
2020-09-22,2,22,2020,09,307,0,120,12.0,36.3,1021.4,6.0,71.1,48.0,0.0,59.4,10.0,3.1,15.9,0.0,,0.0,0.0,0.0
2018-04-05,4,05,2018,04,531,0,120,12.0,13.9,1015.1,15.0,55.9,34.0,0.0,40.2,10.0,9.3,28.9,0.04,,0.0,0.0,0.0
2020-06-28,7,28,2020,06,240,0,120,12.0,67.8,1006.5,6.0,90.0,70.0,0.0,79.5,9.5,2.1,19.0,0.09,,0.0,0.0,0.0
2015-04-23,4,23,2015,04,612,0,120,12.0,26.5,1006.3,14.0,54.0,42.1,0.0,46.8,10.0,8.1,27.0,0.05,,0.0,0.0,0.0
2014-03-11,2,11,2014,03,510,0,120,12.0,30.9,1002.9,8.0,64.9,36.0,0.0,53.6,9.9,4.6,15.9,0.0,1.2,0.0,0.0,0.0
2015-11-29,7,29,2015,11,453,0,120,12.0,31.4,1023.4,12.0,46.4,37.4,0.0,41.5,10.0,8.7,15.9,0.02,,0.0,0.0,0.0
2012-10-04,4,04,2012,10,554,0,120,12.0,66.2,1019.0,13.0,73.4,62.6,1.0,68.6,2.9,2.2,,0.01,,0.0,0.0,0.0
2020-11-19,4,19,2020,11,279,0,120,12.0,18.5,1034.4,8.0,48.0,30.0,0.0,37.1,10.0,3.8,15.9,0.0,,0.0,0.0,0.0
2022-03-09,3,09,2022,03,286,0,125,12.5,25.6,1019.9,9.9,50.0,33.1,1.0,37.7,6.6,4.8,14.0,0.01,,0.0,0.0,1.0
2020-06-06,6,06,2020,06,262,0,125,12.5,66.3,1008.2,22.9,86.0,69.1,0.0,76.3,7.8,6.8,31.1,0.26,,0.0,0.0,0.0
2023-03-24,5,24,2023,03,229,0,125,12.5,33.9,1012.8,9.9,60.1,44.1,0.0,50.9,9.6,4.4,19.0,0.09,,0.0,0.0,0.0
2013-01-03,4,03,2013,01,549,0,125,12.5,14.1,1020.6,8.0,32.0,24.1,0.0,28.4,10.0,3.7,15.0,0.0,,0.0,0.0,0.0
2018-01-01,1,01,2018,01,453,0,125,12.5,-4.6,1027.4,11.1,21.0,7.0,0.0,11.7,10.0,7.3,19.0,0.0,,0.0,0.0,0.0
2012-11-29,4,29,2012,11,515,0,125,12.5,21.9,1025.9,15.9,43.0,32.0,0.0,37.5,9.7,5.8,22.9,0.01,,0.0,0.0,0.0
2014-01-28,2,28,2014,01,504,0,125,12.5,-7.2,1023.8,12.0,26.1,12.9,0.0,17.8,10.0,6.5,22.0,0.0,3.1,0.0,0.0,0.0
2017-01-16,1,16,2017,01,477,0,125,12.5,20.0,1029.7,7.0,43.0,30.0,0.0,35.0,10.0,3.1,,0.0,1.2,0.0,0.0,0.0
2014-03-30,7,30,2014,03,437,0,125,12.5,41.9,1001.0,20.0,59.0,42.1,0.0,45.3,5.6,9.6,29.9,2.01,,0.0,0.0,0.0
2012-09-03,1,03,2012,09,373,0,125,12.5,65.1,1019.8,14.0,79.0,55.4,0.0,73.8,10.0,4.5,14.0,0.0,,0.0,0.0,0.0
