day,dd,mm,year,collision_date,num_collisions,injured,fatalities,weighted_fatalities_injuries,num_vehicles_involved,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
5,13,12,2013,2013-12-13,695,161,0,16.1,1391,7.7,1021.7,11.1,35.1,23.0,0.0,27.8,10.0,5.5,25.1,0.0,,0.0,0.0,0.0
5,15,04,2022,2022-04-15,292,161,0,16.1,535,26.7,1017.5,8.9,79.0,52.0,0.0,60.1,10.0,5.0,18.1,0.06,,0.0,0.0,0.0
2,22,12,2015,2015-12-22,699,161,0,16.1,1401,49.2,1016.8,8.0,62.6,55.0,0.0,57.2,8.9,4.9,15.9,0.0,,0.0,0.0,0.0
3,18,09,2013,2013-09-18,571,161,0,16.1,1131,41.9,1026.0,5.1,72.0,50.0,0.0,60.0,10.0,1.4,,0.0,,0.0,0.0,0.0
4,28,03,2013,2013-03-28,549,161,0,16.1,1108,27.8,1015.4,8.9,51.1,37.0,0.0,43.3,10.0,4.7,,0.0,,0.0,0.0,0.0
7,05,11,2017,2017-11-05,519,161,0,16.1,977,49.9,1024.1,8.0,60.1,46.0,0.0,55.0,8.1,4.6,,0.01,,0.0,0.0,0.0
4,02,05,2013,2013-05-02,585,161,0,16.1,1168,41.2,1030.2,7.0,72.0,48.9,0.0,58.9,10.0,2.3,,0.0,,0.0,0.0,0.0
5,21,08,2020,2020-08-21,348,161,0,16.1,584,62.0,1014.7,8.0,82.9,62.1,0.0,74.6,10.0,4.6,15.0,0.0,,0.0,0.0,0.0
5,25,11,2016,2016-11-25,455,161,0,16.1,814,42.6,1023.2,6.0,54.0,37.9,0.0,48.6,7.0,2.1,,0.03,,0.0,0.0,0.0
4,26,07,2012,2012-07-26,604,161,0,16.1,1205,62.4,1007.0,13.0,87.1,66.9,1.0,78.0,8.9,4.3,29.9,0.0,,0.0,0.0,0.0
4,28,07,2022,2022-07-28,297,161,0,16.1,541,70.4,1010.4,6.0,87.1,70.0,0.0,79.8,9.8,2.4,14.0,0.02,,0.0,0.0,0.0
4,23,11,2017,2017-11-23,469,163,0,16.1,887,19.2,1018.1,13.0,55.9,30.9,0.0,36.6,10.0,5.1,21.0,0.14,,0.0,0.0,0.0
1,29,04,2013,2013-04-29,598,161,0,16.1,1194,44.0,1023.2,7.0,57.0,53.1,0.0,55.0,9.6,4.3,17.1,0.0,,0.0,0.0,0.0
4,18,08,2022,2022-08-18,283,161,0,16.1,501,55.9,1012.6,13.0,87.1,62.1,1.0,72.9,9.6,3.1,21.0,0.34,,0.0,0.0,0.0
3,21,10,2020,2020-10-21,338,161,0,16.1,597,61.3,1024.4,4.1,71.1,57.0,0.0,63.4,6.5,1.1,,0.0,,0.0,0.0,0.0
1,25,07,2016,2016-07-25,698,161,0,16.1,1287,69.2,1013.2,14.0,93.9,75.0,1.0,82.3,7.3,3.3,27.0,0.0,,0.0,0.0,0.0
4,04,12,2014,2014-12-04,606,161,0,16.1,1196,22.5,1026.2,9.9,46.0,37.0,0.0,41.2,10.0,5.8,21.0,0.05,,0.0,0.0,0.0
5,13,01,2017,2017-01-13,604,161,0,16.1,1124,35.8,1025.7,11.1,64.9,36.0,0.0,51.4,10.0,6.4,22.0,0.05,,0.0,0.0,0.0
2,14,05,2019,2019-05-14,621,161,0,16.1,1152,43.4,1009.9,8.0,52.0,42.1,0.0,46.7,7.9,3.1,17.1,0.69,,0.0,0.0,0.0
1,03,02,2020,2020-02-03,559,161,0,16.1,1034,33.3,1006.8,8.9,57.0,35.1,0.0,45.1,9.1,5.2,15.9,0.06,,0.0,0.0,0.0
2,16,08,2022,2022-08-16,291,161,0,16.1,534,55.2,1015.9,12.0,82.9,66.0,0.0,73.8,10.0,4.9,19.0,0.0,,0.0,0.0,0.0
4,02,12,2021,2021-12-02,319,171,0,17.1,570,39.9,1010.8,7.0,57.9,39.9,0.0,51.7,9.7,4.2,17.1,0.04,,0.0,0.0,0.0
1,15,07,2013,2013-07-15,581,171,0,17.1,1145,69.7,1023.0,7.0,93.9,78.1,0.0,85.3,9.6,3.4,,0.0,,0.0,0.0,0.0
2,07,08,2018,2018-08-07,658,171,0,17.1,1225,73.1,1015.0,6.0,88.0,75.2,0.0,82.5,7.6,3.0,,0.0,,0.0,0.0,0.0
1,21,03,2022,2022-03-21,292,171,0,17.1,515,25.4,1016.3,13.0,62.1,44.1,0.0,51.3,9.6,8.6,25.1,0.0,,0.0,0.0,0.0
6,15,05,2021,2021-05-15,321,171,0,17.1,606,34.3,1023.1,8.0,79.0,52.0,0.0,66.8,10.0,3.4,,0.0,,0.0,0.0,0.0
1,21,06,2021,2021-06-21,361,171,0,17.1,650,69.8,1006.1,6.0,86.0,66.0,0.0,80.0,9.8,2.5,,0.0,,0.0,0.0,0.0
3,14,11,2018,2018-11-14,688,171,0,17.1,1277,19.3,1025.9,,50.0,35.1,0.0,38.7,10.0,,,0.38,,0.0,0.0,0.0
5,08,10,2021,2021-10-08,361,171,0,17.1,656,60.4,1021.1,8.0,75.9,61.0,0.0,67.3,8.2,2.1,,0.0,,0.0,0.0,0.0
3,13,12,2017,2017-12-13,709,171,0,17.1,1295,8.1,1000.0,15.0,50.0,19.9,0.0,26.9,9.9,9.5,26.0,0.0,,0.0,0.0,1.0
3,15,06,2016,2016-06-15,739,171,0,17.1,1389,46.9,1013.6,5.1,84.9,57.9,0.0,73.2,10.0,2.2,,0.0,,0.0,0.0,0.0
4,01,11,2018,2018-11-01,696,171,0,17.1,1289,52.7,1011.5,,70.0,44.1,0.0,62.2,9.7,,,0.0,,0.0,0.0,0.0
